ano	regiao	sg_estado	id_cbo	renda_mensal_total	total_empregos	total_estabelecimentos
2014	Norte	AC	1112	206042.68	75	8
2014	Norte	AC	1113	1921101.84	77	2
2014	Norte	AC	1114	6304959.54	924	82
2014	Norte	AC	1115	66968	12	4
2014	Norte	AC	1141	37657.53	4	1
2014	Norte	AC	1142	1448	1	1
2014	Norte	AC	1144	19014.49	10	4
2014	Norte	AC	1210	388895.93	49	37
2014	Norte	AC	1221	4440.02	2	2
2014	Norte	AC	1223	34850.67	5	4
2014	Norte	AC	1224	23119.37	6	5
2014	Norte	AC	1226	11287.69	7	3
2014	Norte	AC	1231	380654.57	72	54
2014	Norte	AC	1232	23351.06	8	8
2014	Norte	AC	1233	41156.29	6	6
2014	Norte	AC	1234	7145.99	6	3
2014	Norte	AC	1236	1600	1	1
2014	Norte	AC	1237	781.92	1	1
2014	Norte	AC	1238	19025.81	4	4
2014	Norte	AC	1311	135950.27	54	18
2014	Norte	AC	1312	165993.89	47	16
2014	Norte	AC	1313	1152218.22	221	15
2014	Norte	AC	1411	176187.34	83	48
2014	Norte	AC	1412	236731.4	99	68
2014	Norte	AC	1413	59134.24	22	14
2014	Norte	AC	1414	1217253.63	378	247
2014	Norte	AC	1415	92314.68	54	42
2014	Norte	AC	1416	190972.49	81	58
2014	Norte	AC	1417	154629.67	28	25
2014	Norte	AC	1421	9898523.06	2758	728
2014	Norte	AC	1422	278969.28	115	87
2014	Norte	AC	1423	1768779.78	564	384
2014	Norte	AC	1424	176759.62	76	62
2014	Norte	AC	1425	119179.02	34	21
2014	Norte	AC	1426	24826.9	3	2
2014	Norte	AC	1427	59657.41	20	13
2014	Norte	AC	2011	117040.88	15	2
2014	Norte	AC	2021	16534.52	1	1
2014	Norte	AC	2031	3847.66	1	1
2014	Norte	AC	2032	7740.28	1	1
2014	Norte	AC	2033	27563.65	7	2
2014	Norte	AC	2034	65857.39	5	3
2014	Norte	AC	2035	10138.47	2	2
2014	Norte	AC	2041	263015	17	2
2014	Norte	AC	2111	19791.83	1	1
2014	Norte	AC	2112	2681.52	1	1
2014	Norte	AC	2122	15861.59	2	2
2014	Norte	AC	2123	39212.48	17	11
2014	Norte	AC	2124	710227.12	160	56
2014	Norte	AC	2131	23039.99	2	1
2014	Norte	AC	2132	45788.84	8	7
2014	Norte	AC	2140	3209.52	2	1
2014	Norte	AC	2141	409646.87	57	16
2014	Norte	AC	2142	1799681.86	246	64
2014	Norte	AC	2143	499270.76	53	21
2014	Norte	AC	2144	16321.8	5	4
2014	Norte	AC	2145	54367.59	5	4
2014	Norte	AC	2148	3372.27	2	2
2014	Norte	AC	2149	98133.09	18	14
2014	Norte	AC	2151	9893.76	5	2
2014	Norte	AC	2153	24183.29	13	4
2014	Norte	AC	2211	1234497.22	169	22
2014	Norte	AC	2212	463572.88	74	7
2014	Norte	AC	2221	2849280.78	317	40
2014	Norte	AC	2232	1413393.64	260	38
2014	Norte	AC	2233	870196.21	99	21
2014	Norte	AC	2234	876714.2	207	89
2014	Norte	AC	2235	5482132.57	1091	48
2014	Norte	AC	2236	654182.19	120	21
